title,genre,country,production_company,runtime,release_date,overview,tagline,budget,revenue,popularity,vote_average,vote_count,poster_path,tmdb_id,imdb_id
EuroTrip,Comedy,United States of America,DreamWorks SKG,93,2/20/04,"When Scott learns that his longtime cyber-buddy from Berlin is a gorgeous young woman, he and his friends embark on a trip across Europe.",No actual Europeans were harmed in the making of this film.,25000000,20796847,6.275468,6.5,673,/pes2HCVX60MNZZdUrKtgVNlv1ig.jpg,9352,tt0356150
Passengers,Drama,Canada,TriStar Pictures,93,9/26/08,"After a plane crash, a young therapist, Claire, is assigned by her mentor to counsel the flight's five survivors. When they share their recollections of the incident -- which some say include an explosion that the airline claims never happened -- Claire is intrigued by Eric, the most secretive of the passengers",The line between this world and the next is about to be crossed,25000000,2000000,6.274736,5.7,214,/fGI0FFre8W454JqHgexV6zDWC9H.jpg,13944,tt0449487
The Men Who Stare at Goats,Comedy,United Kingdom,BBC Films,93,10/17/09,"A reporter in Iraq might just have the story of a lifetime when he meets Lyn Cassady, a guy who claims to be a former member of the U.S. Army's New Earth Army, a unit that employs paranormal powers in their missions.",No goats. No glory.,24000000,68729358,6.253084,5.9,755,/dCr1NYTxj7jJi2OlreTzCH7xJcM.jpg,10313,tt1234548
Imagine Me & You,Drama,Germany,BBC Films,93,2/1/05,"During her wedding ceremony, Rachel notices Luce in the audience and feels instantly drawn to her. The two women become close friends, and when Rachel learns that Luce is a lesbian, she realizes that despite her happy marriage to Heck, she is falling for Luce. As she questions her sexual orientation, Rachel must decide between her stable relationship with Heck and her exhilarating new romance with Luce.",There goes the bride.,0,2455831,6.008971,7,181,/6IXVDZOpqThs3GTPix4ImwrTVb7.jpg,1544,tt0421994
The Perfect Host,Comedy,United States of America,Splendid Film,93,7/1/10,A criminal on the run cons his way into the wrong dinner party where the host is anything but ordinary.,Dinner Parties Are A Dying Art.,0,14870,5.935839,6.2,136,/n6OHmrKpwXAFvobJhNWAT5VnBTf.jpg,66195,tt1334553
Dom Hemingway,Comedy,United Kingdom,BBC Films,93,11/15/13,"After spending 12 years in prison for keeping his mouth shut, notorious safe-cracker Dom Hemingway is back on the streets of London looking to collect what he's owed.",I want my money plus interest.... and a present,0,523511,5.713974,5.8,213,/z4yQiTC3EfwVPzVuBqjOELtfo3f.jpg,192134,tt2402105
Red Dawn,War,United States of America,Contrafilm,93,11/21/12,"A city in Washington state awakens to the surreal sight of foreign paratroopers dropping from the sky - shockingly, the U.S. has been invaded and their hometown is the initial target. Quickly and without warning, the citizens find themselves prisoners and their town under enemy occupation. Determined to fight back, a group of young patriots seek refuge in the surrounding woods, training and reorganizing themselves into a guerrilla group of fighters. Taking inspiration from their high school mascot, they call themselves the Wolverines, banding together to protect one another, liberate their town from its captors, and take back their freedom.",Welcome To the Home of the Brave,65000000,44806783,5.627787,5.3,573,/tNkIfqiuWFYCUIiyVblar8rB1GV.jpg,60747,tt1234719
Beasts of the Southern Wild,Drama,United States of America,Journeyman Pictures,93,6/29/12,"Hushpuppy, an intrepid six-year-old girl, lives with her father, Wink in 'the Bathtub', a southern Delta community at the edge of the world. Wink’s tough love prepares her for the unraveling of the universe – for a time when he’s no longer there to protect her. When Wink contracts a mysterious illness, nature flies out of whack – temperatures rise, and the ice caps melt, unleashing an army of prehistoric creatures called aurochs. With the waters rising, the aurochs coming, and Wink’s health fading, Hushpuppy goes in search of her lost mother.",I  gotta take care of mine.,1800000,21107746,5.550496,6.8,411,/nQJmWekGYlXhezGUb21xFfEfwhH.jpg,84175,tt2125435
Deck the Halls,Comedy,United States of America,Regency Enterprises,93,11/22/06,Two neighbors have it out after one of them decorates his house for the holidays so brightly that it can be seen from space.,There glows the neighborhood,0,47231070,5.162761,5.1,109,/u48kzT5MrSj6Vdnzsn1upjNNW8H.jpg,9969,tt0790604
Restrepo,Documentary,United States of America,Outpost Productions,93,6/25/10,"Winner of the 2010 Sundance Film Festival Grand Jury Prize for a Documentary, Restrepo chronicles the deployment of a U.S. platoon of courageous American soldiers in Afghanistan's Korengal Valley, considered to be one of the most dangerous postings in the U.S. military.","One platoon, one valley, one year",0,1422910,4.577881,7.3,117,/870h3Ja0XlPGYmvNMrUD260RwbJ.jpg,39312,tt1559549
Tyrannosaur,Drama,United Kingdom,WarpX,93,10/7/11,"The story of Joseph a man plagued by violence and a rage that is driving him to self-destruction. As Joseph's life spirals into turmoil a chance of redemption appears in the form of Hannah, a Christian charity shop worker. Their relationship develops to reveal that Hannah is hiding a secret of her own with devastating results on both of their lives.",,0,22321,4.548774,7.3,124,/SPmTRQxLBytoBpWCpsGHgJEFd7.jpg,76543,tt1204340
The Good Girl,Drama,Netherlands,Fox Searchlight Pictures,93,1/12/02,A discount store clerk strikes up an affair with a stock boy who considers himself the incarnation of Holden Caulfield.,It's her last best chance... is she going to take it?,8000000,16856124,4.388338,6.1,183,/gXUh1LQ8g2rOKNzmOCe3tjfnsZR.jpg,9962,tt0279113
"Monsters, Inc.",Animation,United States of America,Walt Disney Pictures,92,11/1/01,"James Sullivan and Mike Wazowski are monsters, they earn their living scaring children and are the best in the business... even though they're more afraid of the children than they are of them. When a child accidentally enters their world, James and Mike suddenly find that kids are not to be afraid of and they uncover a conspiracy that could threaten all children across the world.",We Scare Because We Care.,115000000,562816256,26.419962,7.5,6150,/93Y9BGx8blzmZOPSoivkFfaifqU.jpg,585,tt0198781
Penguins of Madagascar,Family,United States of America,DreamWorks Animation,92,11/22/14,"Skipper, Kowalski, Rico and Private join forces with undercover organization The North Wind to stop the villainous Dr. Octavius Brine from destroying the world as we know it.",The Movie Event That Will Blow Their Cover,132000000,373552094,22.201607,6.5,1375,/pRer59eyY4rjkLPeKXKo7fPxCHH.jpg,270946,tt1911658
The Pink Panther 2,Comedy,United States of America,Columbia Pictures,92,2/6/09,"When legendary treasures from around the world are stolen, including the priceless Pink Panther Diamond, Chief Inspector Dreyfus is forced to assign Inspector Clouseau to a team of international detectives and experts charged with catching the thief and retrieving the stolen artifacts.",Inspect the unexpected.,0,75871032,18.54675,5.4,323,/bVGiumWel8Lixi87SXqlDIGwjqQ.jpg,15159,tt0838232
Trolls,Adventure,United States of America,Twentieth Century Fox Film Corporation,92,10/13/16,"Lovable and friendly, the trolls love to play around. But one day, a mysterious giant shows up to end the party. Poppy, the optimistic leader of the Trolls, and her polar opposite, Branch, must embark on an adventure that takes them far beyond the only world they’ve ever known.",,125000000,346864462,16.83711,6.7,1054,/zKu5MNy9QW1a5ZHgv7iAp3kRZpE.jpg,136799,tt1679335
Dracula Untold,Horror,United States of America,Universal Pictures,92,10/1/14,"Vlad Tepes is a great hero, but when he learns the Sultan is preparing for battle and needs to form an army of 1,000 boys, including Vlad's son, he vows to find a way to protect his family. Vlad turns to dark forces in order to get the power to destroy his enemies and agrees to go from hero to monster as he's turned into the mythological vampire Dracula.",Every bloodline has a beginning,70000000,215529201,16.316318,6.2,2439,/4oy4e0DP6LRwRszfx8NY8EYBj8V.jpg,49017,tt0829150
Saw II,Horror,United States of America,Lions Gate Films,92,10/28/05,"When a new murder victim is discovered with all the signs of Jigsaw's hand, Detective Eric Matthews begins a full investigation and apprehends Jigsaw with little effort. But for Jigsaw, getting caught is just another part of his plan. Eight more of his victims are already fighting for their lives and now it's time for Matthews to join the game...",Oh Yes... There Will Be Blood.,4000000,152925093,15.399863,6.3,1288,/vC7ggR8njwtQOZRmrSvMtHqy9hx.jpg,215,tt0432348
Easy A,Comedy,United States of America,Screen Gems,92,9/10/10,"After a little white lie about losing her virginity gets out, a clean cut high school girl sees her life paralleling Hester Prynne's in ""The Scarlet Letter,"" which she is currently studying in school - until she decides to use the rumor mill to advance her social and financial standing.",The rumour-filled totally false account of how I ruined my flawless reputation.,8000000,74952305,15.138144,6.7,2282,/1pgPO3OfSm2inpODMqg2RNmLW90.jpg,37735,tt1282140
Before I Go to Sleep,Mystery,France,StudioCanal,92,9/3/14,"A woman wakes up every day, remembering nothing as a result of a traumatic accident in her past. One day, new terrifying truths emerge that force her to question everyone around her.",Who do you trust?,22000000,15447154,14.921298,6.2,672,/3UG2Pb122c7Va8MBtr1OHRB1YPh.jpg,204922,tt1726592
Alvin and the Chipmunks: The Road Chip,Adventure,United States of America,Regency Enterprises,92,12/17/15,"Through a series of misunderstandings, Alvin, Simon and Theodore come to believe that Dave is going to propose to his new girlfriend in New York City - and dump them. They have three days to get to him and stop the proposal.",Fast & furry-ous,0,233755553,14.307672,5.7,438,/Lg83xE4X2EBiXkA1ZCu6dFOjSx.jpg,258509,tt2974918
Friend Request,Horror,Germany,Wiedemann & Berg Filmproduktion,92,1/7/16,"Enjoying college life as a popular student, Laura shares everything with her more  than 800 friends on Facebook. But one day, after accepting a friend request from a  social outcast named Marina, Laura’s life is cursed...",Be careful who you click with.,9900000,2400000,14.282584,5.3,376,/8sc2FXCczMd4lb8j5YiT0S6aQiO.jpg,368031,tt3352390
The Three Stooges,Comedy,United States of America,Wessler Entertainment,92,4/13/12,"While trying to save their childhood orphanage, Moe, Larry and Curly inadvertently stumble into a murder plot and wind up starring in a reality TV show.",Just Say Moe.,30000000,54819301,13.371056,4.9,143,/gQxerRSIpqS5X9nAM7G5wlxWPB8.jpg,76489,tt0383010
The Transporter,Action,United States of America,TF1 Films Productions,92,10/2/02,"Former Special Forces officer, Frank Martin will deliver anything to anyone for the right price, and his no-questions-asked policy puts him in high demand. But when he realizes his latest cargo is alive, it sets in motion a dangerous chain of events. The bound and gagged Lai is being smuggled to France by a shady American businessman, and Frank works to save her as his own illegal activities are uncovered by a French detective.",Rules are made to be broken.,21000000,43928932,13.217421,6.6,1724,/vD5plFV1ec9CSIsdlPe9icCDRTL.jpg,4108,tt0293662
Fantastic 4: Rise of the Silver Surfer,Adventure,Germany,Ingenious Film Partners,92,6/13/07,"The Fantastic Four return to the big screen as a new and all powerful enemy threatens the Earth. The seemingly unstoppable 'Silver Surfer', but all is not what it seems and there are old and new enemies that pose a greater threat than the intrepid superheroes realize.",Discover the secret of the Surfer.,130000000,289047763,12.924254,5.4,2648,/fXpziQgnBnB4bLgjKhjTbLQumE5.jpg,1979,tt0486576
Final Destination 5,Horror,United States of America,New Line Cinema,92,8/12/11,"In this fifth installment, Death is just as omnipresent as ever, and is unleashed after one man’s premonition saves a group of coworkers from a terrifying suspension bridge collapse. But this group of unsuspecting souls was never supposed to survive, and, in a terrifying race against time, the ill-fated group frantically tries to discover a way to escape Death’s sinister agenda.",We all share a common destination.,47000000,157887643,12.912491,5.9,892,/m4xhyjrybUGGY2p6bjrF4AO5Osl.jpg,55779,tt1622979
Morgan,Horror,United States of America,Twentieth Century-Fox,92,9/1/16,A corporate risk-management consultant must determine whether or not to terminate an artificial being's life that was made in a laboratory environment.,Don't let it out,8000000,8810591,12.521071,5.7,436,/oY5YBkruSCh36kRTzB4W2Li70fj.jpg,377264,tt4520364
The Cove,Documentary,United States of America,Diamond Docs,92,7/31/09,"The Cove tells the amazing true story of how an elite team of individuals, films makers and free divers embarked on a covert mission to penetrate the hidden cove in Japan, shining light on a dark and deadly secret. The shocking discoveries were only the tip of the iceberg.",Shallow Water. Deep Secret.,0,1162422,12.492389,7.9,241,/9giC3yXFPMl5Gmy5HGd0BYvWSWS.jpg,23128,tt1313104
The Darkness,Horror,United States of America,Universal Pictures,92,5/13/16,A family returns from a Grand Canyon vacation with a supernatural presence in tow.,Evil comes home,4000000,10898293,12.187189,4.5,162,/g3IYNRZhWmn9wceOxwVuOqAymZa.jpg,257345,tt1878841
TEKKEN,Crime,United States of America,Namco,92,3/20/10,"In the year of 2039, after World Wars destroy much of the civilization as we know it, territories are no longer run by governments, but by corporations; the mightiest of which is the Mishima Zaibatsu. In order to placate the seething masses of this dystopia, Mishima sponsors Tekken, a tournament in which fighters battle until only one is left standing.",Survival is no game,30000000,967000,12.17886,5.2,185,/jFhn4Xbfh5zxCw1UYctFpspxoUe.jpg,42194,tt0411951
Diary of a Wimpy Kid,Comedy,United Kingdom,Dune Entertainment,92,3/19/10,"Greg Heffley is headed for big things, but first he has to survive the scariest, most humiliating experience of any kid’s life – middle school! That won’t be easy, considering he’s surrounded by hairy-freckled morons, wedgie-loving bullies and a moldy slice of cheese with nuclear cooties!","It's not a diary, it's a movie.",15000000,75700498,12.139919,5.9,369,/tyGsEW5Aiusr7qKKLITPfVFCmW.jpg,33217,tt1196141
